deviceId,TimeStamp,AcceleratorPositionD,AcceleratorPositionE,BarometricPressure,Battery,CommandedEGR,ControlModuleVoltage,CoolantTemperature,DistanceSinceDTCClear,DistanceWithMIL,DTC,EngineLoad,EngineSpeed,FuelRailPressureDirect,IntakeTemp,MAF,MAP,PidsA,PidsB,PidsC,Speed,Status.DTCCount,Status.MIL,VehicleIdentification.VIN
RQHVTJF00006025,2020-09-01T14:21:14.000Z,14,7,90,13.73099995,19,13,83,0,0,"\\""""",39,1798,67200,45,18,92,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:17.000Z,14,7,90,13.73099995,1,13,83,0,0,"\\""""",71,1147,59400,45,10,93,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:20.000Z,14,7,90,13.73099995,1,13,83,0,0,"\\""""",53,1814,90800,45,19,102,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:23.000Z,14,7,90,13.73099995,1,14,83,0,0,"\\""""",65,1242,61200,45,12,97,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:26.000Z,14,7,90,13.73099995,1,14,84,0,0,"\\""""",61,1516,78600,45,15,100,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:29.000Z,14,7,90,13.73099995,1,14,84,0,0,"\\""""",63,1793,92800,46,20,109,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:32.000Z,14,7,90,13.73099995,19,14,84,0,0,"\\""""",14,1897,36600,46,13,98,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:35.000Z,14,7,90,13.73099995,29,14,84,0,0,"\\""""",69,1432,47200,46,14,100,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:38.000Z,14,7,90,13.73099995,19,14,86,0,0,"\\""""",18,1406,69800,46,13,90,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:41.000Z,14,7,90,13.73099995,19,14,86,0,0,"\\""""",25,1105,26800,40,6,100,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:44.000Z,14,7,90,13.73099995,39,14,86,0,0,"\\""""",23,760,28800,40,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:47.000Z,14,7,90,13.73099995,40,14,86,0,0,"\\""""",23,760,29200,40,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:50.000Z,14,7,90,13.73099995,40,14,87,0,0,"\\""""",23,760,29200,40,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:53.000Z,14,7,90,13.73099995,35,14,87,0,0,"\\""""",24,751,28600,43,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:56.000Z,14,7,90,13.73099995,29,14,87,0,0,"\\""""",25,760,28600,43,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:59.000Z,14,7,90,13.73099995,21,14,87,0,0,"\\""""",23,761,29600,43,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:02.000Z,14,7,90,13.73099995,19,14,86,0,0,"\\""""",25,759,29400,43,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:05.000Z,14,7,90,13.73099995,19,14,86,0,0,"\\""""",24,686,27600,43,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:08.000Z,14,7,90,13.73099995,19,14,86,0,0,"\\""""",32,1017,43800,43,9,90,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:11.000Z,14,7,90,13.73099995,19,14,86,0,0,"\\""""",61,1698,82400,43,19,97,2554003473,2685411329,3233808384,0,1,FALSE,0
